text,intent
"Отправь сообщение Сергею.
",write
"Сформируй сообщение для Ильи.
",write
"Напиши письмо Алексее.
",write
"Отправь сообщение Надежде.
",write
"Создай новое сообщение для Анатолия.
",write
"Напиши Кристине.
",write
"Отправь сообщение Андрею ""Привет, как дела?"".
",write
"Создай новое сообщение для Ксении с текстом ""Как настроение?"".
",write
"Напиши сообщение Елене ""Когда удобно встретиться?"".
",write
"Сформируй сообщение для Ивана ""Сходи пожалуйста в магазин"".
",write
"Напиши письмо Сергею ""Подскажи, где можно купить билеты?"".
",write
"Отправь сообщение Данилу ""Напомни, что нам нужно купить?"".
",write
"Создай новое сообщение для Николая с текстом ""Как прошло собеседование?"".
",write
"Напиши Софии ""Куда пойдем на выходных?"".
",write
"Отправь сообщение Артему ""Спасибо за помощь!"".
",write
"Сформируй сообщение для Екатерины ""Может встретимся вечерком?"".
",write
"Напиши письмо Ирине ""Когда возможно обсудить проект?"".
",write
"Отправь сообщение Роману ""Не забудь принести документы"".
",write
"Создай новое сообщение для Ольги с текстом ""Как дела у родителей?"".
",write
"Напиши Алине ""Что планируешь делать на выходных?"". #54
",write
"Отправь сообщение Ивану.
",write
"Напиши Ирине в мессенджере.
",write
"Отправить текст Татьяне.
",write
"Сообщи Михаилу об изменениях планов.
",write
"Скинь Борису ссылку на статью.
",write
"Отправить сообщение коллеге по работе.
",write
"Напиши родственникам, что приедешь поздно.
",write
"Отправь сообщение другу с приглашением на встречу.
",write
"Сделай уведомление о митинге через чат.
",write
"Оповести Андрея о продлении срока проекта.
",write
"Отправить сообщение начальнику о задержке.
",write
"Сообщи Дарье о новостях в компании.
",write
"Напиши Максиму, чтобы он перезвонил.
",write
"Отправьте сообщение Виктору с вопросом.
",write
"Оповестите коллег о переносе совещания.
",write
"Отправить сообщение партнерам об открытии нового офиса.
",write
"Напомните Елене о встрече завтра.
",write
"Сообщите Александру о возможном переносе.
",write
"Напишите Кириллу с просьбой отправить документы.
",write
"Отправьте сообщение Ольге с информацией о вакансиях.
",write
"Сообщите коллегам о новых правилах безопасности.
",write
"Напишите партнерам, чтобы они подготовили отчет.
",write
"Отправьте сообщение клиенту с благодарностью за заказ.
",write
"Сделай уведомление о срочной встрече.
",write
"Оповестите команду о выпуске нового продукта.
",write
"Напомните Марии о необходимости предоставить документы.
",write
"Сообщите Людмиле о задержке поставок.
",write
"Напишите Михаилу, что проект готов к проверке.
",write
"Отправьте сообщение Татьяне с ссылкой на инструкцию.
",write
"Сообщите коллегам о выходе новой версии программы.
",write
"Напишите Владимиру об изменении условий договора.
",write
"Отправьте сообщение Антону с новым графиком работ.
",write
"Сделайте уведомление о перезагрузке системы.
",write
"Оповестите руководство о проблемах в проекте.
",write
"Напомните Ирине о необходимости подписать документы.
",write
"Сообщите Александру о продвижении проекта.
",write
"Напишите Марии, чтобы она прислала отчет в срок.
",write
"Отправьте сообщение партнерам о новом мероприятии.
",write
"Сообщите Андрею о необходимости провести встречу.
",write
"Напишите коллегам, что проект перенесен на следующую неделю.
",write
"Отправьте сообщение Виктору с информацией о статусе заказа.
",write
"Сделайте уведомление о проблемах со связью.
",write
"Оповестите руководство о необходимости ускорить работу.
",write
"Напомните Елене о необходимости проверить отчет. #100
",write
"Напиши сообщение Джону.
",write
"Отправь письмо на почту.
",write
"Создай новое сообщение.
",write
"Добавь текст в новое сообщение.
",write
"Отправь SMS сообщение.
",write
"Отправь голосовое сообщение Лизе.
",write
"Напиши электронное письмо.
",write
"Составь сообщение для Алексея.
",write
"Отправь ответное сообщение.
",write
"Отправь сообщение на Viber.
",write
"Отправь сообщение на Telegram.
",write
"Отправь сообщение на WhatsApp.
",write
"Составь SMS для Марии.
",write
"Создай новый чат.
",write
"Напиши небольшое послание.
",write
"Отправь сообщение на Facebook Messenger.
",write
"Отправь сообщение на Instagram Direct.
",write
"Отправь сообщение через iMessage.
",write
"Отправь голосовое сообщение на WeChat.
",write
"Напиши короткое сообщение.
",write
"Отправь сообщение на Line.
",write
"Напиши сообщение в группу.
",write
"Отправь сообщение на Контакте.
",write
"Отправь сообщение на Skype.
",write
"Напиши письмо на работу.
",write
"Отправь поздравительное сообщение.
",write
"Отправь сообщение на номер телефона.
",write
"Отправь сообщение на адрес электронной почты.
",write
"Напиши сообщение для клиента.
",write
"Создай новый личный чат.
",write
"Отправь сообщение на ТикТок.
",write
"Напиши сообщение как можно скорее.
",write
"Отправь сообщение на Google Hangouts.
",write
"Отправь сообщение через Slack.
",write
"Напиши сообщение для друга.
",write
"Отправь сообщение на Snapchat.
",write
"Отправь сообщение на Алибабу.
",write
"Отправь сообщение на Вайбер Бизнес.
",write
"Напиши длинное сообщение.
",write
"Отправь сообщение на Signal.
",write
"Отправь сообщение на КакаоTalk.
",write
"Отправь сообщение с фотографией.
",write
"Напиши сообщение для мамы.
",write
"Создай новую группу.
",write
"Отправь сообщение на Discord.
",write
"Напиши сообщение с emoji.
",write
"Отправь сообщение на Weibo.
",write
"Отправь сообщение на Яндекс.Дзен. #150
",write
"Отправь сообщение
",write
"Напиши новое сообщение
",write
"Создай новую заметку
",write
"Отправь письмо
",write
"Запиши голосовое сообщение
",write
"Добавь новый контакт
",write
"Отправь электронное письмо
",write
"Отправь сообщение на почту
",write
"Отправь сообщение другу
",write
"Отправь сообщение коллеге
",write
"Отправь сообщение родственнику
",write
"Напиши сообщение своему другу
",write
"Напиши новое письмо начальнику
",write
"Отправь сообщение на номер телефона
",write
"Отправь сообщение на Viber
",write
"Отправь сообщение на WhatsApp
",write
"Отправь сообщение на Telegram
",write
"Напиши сообщение на Facebook Messenger
",write
"Напиши сообщение на Instagram Direct
",write
"Напиши сообщение на LinkedIn
",write
"Напиши сообщение на Twitter
",write
"Напиши сообщение на Snapchat
",write
"Создай новый документ
",write
"Напиши отзыв о продукте
",write
"Напиши письмо в поддержку
",write
"Напиши отзыв о фильме
",write
"Напиши письмо жалобы
",write
"Напиши сообщение благодарности
",write
"Напиши сообщение поздравления
",write
"Напиши сообщение приглашения на встречу
",write
"Напиши сообщение с предложением
",write
"Запиши напоминание
",write
"Создай новую задачу
",write
"Напиши план на день
",write
"Напиши список дел
",write
"Напиши план на неделю
",write
"Напиши план на месяц
",write
"Напиши заметку о важном событии
",write
"Напиши заметку о важной идеи
",write
"Напиши заметку о новой задаче
",write
"Оставь записку на холодильнике
",write
"Оставь записку на столе
",write
"Сохрани новое контактное лицо
",write
"Напиши письмо другу за границей
",write
"Создай новое уведомление
",write
"Пришли сообщение в чат
",write
"Напиши сообщение в чат
",write
"Отправь сообщение в чат
",write
"Напиши сообщение для группы
",write
"Отправь сообщение в группу
",write
"Напиши сообщение в службу поддержки
",write
"Отправь сообщение в службу поддержки
",write
"Напиши сообщение в техподдержку
",write
"Отправь сообщение в техподдержку
",write
"Напиши сообщение в бота
",write
"Отправь сообщение в бота
",write
"Напиши письмо другу, с которым не общался давно
",write
"Напиши письмо бывшему коллеге
",write
"Напиши письмо родственнику, живущему в другом городе
",write
"Создай новое напоминание о дне рождении
",write
"Создай новый список покупок
",write
"Создай новый список задач
",write
"Создай новый список контактов
",write
"Напиши сообщение для рекламной компании
",write
"Напиши сообщение для медицинского учреждения#210
",write
"Отправь сообщение другу.
",write
"Напиши своей подруге, чтобы поздравить ее с днем рождения.
",write
"Напиши другу, чтобы сказать, что ты опаздываешь на встречу.
",write
"Посмотри, кто онлайн, и напиши им.
",write
"Отправь голосовое сообщение своей семье.
",write
"Напиши коллеге, чтобы обсудить проект.
",write
"Напомни другу о завтрашней встрече.
",write
"Отправь сообщение своему партнеру, чтобы спросить, что они хотят поужинать.
",write
"Напиши бабушке, чтобы узнать, как она себя чувствует.
",write
"Сообщи другу, что ты собираешься приехать в гости.
",write
"Отправь сообщение своим друзьям, чтобы пригласить их на вечеринку.
",write
"Напиши учителю, чтобы задать вопрос по уроку.
",write
"Попроси друга отправить тебе фото с отпуска.
",write
"Напиши своему боссу, чтобы узнать, как дела на работе.
",write
"Отправь сообщение своим родственникам, чтобы поздравить их с Новым годом.
",write
"Напиши девушке, чтобы спросить, как она провела выходные.
",write
"Сделай заметку для себя и отправь ее в виде сообщения.
",write
"Напиши другу, чтобы поинтересоваться его мнением о новом фильме.
",write
"Отправь сообщение своей паре, чтобы узнать, что они любят делать в свободное время.
",write
"Напиши коллеге, чтобы попросить помощи в выполнении задачи.
",write
"Попроси подругу отправить тебе рецепт пирога.
",write
"Напиши другу, чтобы рассказать о своих путешествиях.
",write
"Отправь сообщение своим друзьям, чтобы сделать их предложение по поводу выходных.
",write
"Напиши своему брату, чтобы поздравить его с новорожденным ребенком.
",write
"Сообщи другу, что ты заболел и не сможешь прийти на встречу.
",write
"Напиши своему другу, чтобы поблагодарить за поддержку в трудные времена.
",write
"Отправь сообщение другу, чтобы пригласить его на футбольный матч.
",write
"Напиши коллеге, чтобы узнать, когда лучше всего созвониться.
",write
"Попроси друзей прислать тебе фото со встречи.
",write
"Напиши родственникам, чтобы поздравить их с юбилеем.
",write
"Отправь сообщение своей паре, чтобы напомнить о дне свадьбы.
",write
"Напиши другу, чтобы поделиться новостями о работе.
",write
"Сделай заметку для себя и отправь ее в виде сообщения.
",write
"Напиши боссу, чтобы узнать, какие требования к отчету. #240
",write
"Отправь сообщение Джону.
",write
"Напиши Джеку, чтобы он знал о нашей встрече.
",write
"Напомни Анне, чтобы она прислала мне свои контакты.
",write
"Отправь письмо редактору журнала.
",write
"Напиши боссу, чтобы сообщить ему о нашем прогрессе.
",write
"Отправь SMS маме, чтобы узнать, как дела.
",write
"Напиши другу, чтобы предложить ему пойти в кино.
",write
"Отправь электронное письмо клиенту, чтобы подтвердить заказ.
",write
"Напиши коллеге, чтобы обсудить наш следующий проект.
",write
"Отправь сообщение партнеру, чтобы запросить дополнительную информацию.
",write
"Напиши другу, чтобы поздравить его с днем рождения.
",write
"Отправь сообщение команде, чтобы напомнить им о важной встрече.
",write
"Напиши коллеге, чтобы попросить помощи с задачей.
",write
"Отправь SMS другу, чтобы поблагодарить его за помощь.
",write
"Напиши клиенту, чтобы предложить ему новую услугу.
",write
"Отправь сообщение родственнику, чтобы узнать, как он поживает.
",write
"Напиши другу, чтобы выразить свою благодарность за поддержку.
",write
"Отправь электронное письмо бывшему коллеге, чтобы пригласить его на обед.
",write
"Напиши клиенту, чтобы обсудить детали проекта.
",write
"Отправь сообщение команде, чтобы попросить их оценить нашу работу.
",write
"Напиши другу, чтобы предложить ему свою помощь.
",write
"Отправь SMS родителям, чтобы сообщить им о своей поездке.
",write
"Напиши боссу, чтобы обсудить возможности продвижения в карьере.
",write
"Отправь сообщение коллеге, чтобы предложить ей пройти обучение.
",write
"Напиши другу, чтобы договориться о встрече в ближайшее время.
",write
"Отправь электронное письмо клиенту, чтобы получить обратную связь.
",write
"Напиши команде, чтобы запросить дополнительные инструкции.
",write
"Отправь сообщение партнеру, чтобы поблагодарить его за сотрудничество.
",write
"Напиши другу, чтобы предложить ему новую идею для бизнеса.
",write
"Отправь SMS коллеге, чтобы узнать, когда она будет в офисе.
",write
"Напиши клиенту, чтобы просить его оставить отзыв о нашей работе.
",write
"Отправь сообщение другу, чтобы попросить его помочь с переездом.
",write
"Напиши команде, чтобы обсудить возможность добавления новых функций в продукт.
",write
"Отправь электронное письмо руководству компании с предложением провести обучение.
",write
"Напиши другу, чтобы выразить свою благодарность за подарок.#280
",write
"Отправь сообщение Джону.
",write
"Напиши письмо Кейту.
",write
"Отправь электронное письмо Мэри.
",write
"Сделай запись на бумаге: напиши ""купить молоко"".
",write
"Произнеси ""созвониться с директором"" и отправь это сообщение.
",write
"Напиши новое сообщение в чате группы.
",write
"Отправь текстовое сообщение своему другу.
",write
"Создай заметку: напиши ""встреча в 15:00"".
",write
"Отправь сообщение на фейсбук.
",write
"Задай вопрос ассистенту в текстовом формате.
",write
"Отправь электронное письмо со своего рабочего аккаунта.
",write
"Напиши ""не забудь купить подарок"".
",write
"Отправь сообщение в WhatsApp группу.
",write
"Напиши ""созвониться с клиентом"" и отправь сообщение в Slack.
",write
"Отправь SMS сообщение своему другу.
",write
"Создай новый пост в Twitter.
",write
"Оставь записку на холодильнике: напиши ""забрать посылку"".
",write
"Отправь сообщение на LinkedIn.
",write
"Напиши ""созвониться с другом"" и отправь это сообщение в Telegram.
",write
"Отправь электронное письмо со своего личного аккаунта.
",write
"Напиши ""встретимся завтра в 10:00"" и отправь это сообщение в Viber.
",write
"Создай напоминание: напиши ""купить билеты на концерт"".
",write
"Отправь сообщение в чате Slack.
",write
"Напиши ""список покупок"" и отправь это сообщение в Facebook Messenger.
",write
"Отправь сообщение в WeChat группу.
",write
"Напиши ""ответить на электронное письмо"" и отправь это сообщение в Skype.
",write
"Отправь сообщение в Instagram Direct.
",write
"Создай новую запись в блоге: напиши ""как сделать пиццу"".
",write
"Напиши ""зарегистрироваться на курс"" и отправь это сообщение в WhatsApp.
",write
"Отправь сообщение в чате Google Hangouts.
",write
"Напиши ""позвонить другу"" и отправь это сообщение в Discord.
",write
"Отправь сообщение на Pinterest.
",write
"Создай заметку: напиши ""оплатить счет за интернет"".
",write
"Отправь сообщение в чате Zoom.
",write
"Напиши ""создать список задач"" и отправь это сообщение в iMessage.
",write
"Отправь сообщение в Line группу.
",write
"Напиши ""созвониться с партнером"" и отправь это сообщение в Jabber.
",write
"Отправь сообщение в чате Microsoft Teams.
",write
"Напиши ""открыть документ"" и отправь это сообщение в Telegram.
",write
"Отправь сообщение на Tumblr.
",write
"Создай новое объявление на Avito: напиши ""продам машину"".
",write
"Напиши ""зарегистрироваться в качестве волонтера"" и отправь это сообщение в Viber.
",write
"Отправь сообщение в чате Skype.
",write
"Напиши ""создать график работы"" и отправь это сообщение в WhatsApp.
",write
"Отправь сообщение в Kik группу.#320
",write
"Напиши маме о том, что мы пойдем гулять в парк.
",write
"Отправь сообщение другу, чтобы узнать, как он проводит свой отпуск.
",write
"Сообщи боссу, что я закончил работу над проектом.
",write
"Напиши коллеге, чтобы поделиться новостью о нашей будущей конференции.
",write
"Отправь сообщение другу, чтобы поздравить его с днем рождения.
",write
"Напиши своему партнеру, чтобы рассказать о своих планах на выходные.
",write
"Отправь сообщение другу, чтобы организовать встречу в ближайшее время.
",write
"Сообщи родителям, что я задержусь на работе до позднего времени.
",write
"Напиши другу, чтобы попросить его помочь с переездом.
",write
"Отправь сообщение коллегам, чтобы уведомить их о запланированном обновлении.
",write
"Сообщи жене, что я приеду домой позже из-за встречи со старым другом.
",write
"Напиши другу, чтобы предложить ему совместную поездку на море.
",write
"Отправь сообщение боссу, чтобы напомнить о важном сроке проекта.
",write
"Сообщи коллегам, что я буду работать из дома в следующий вторник.
",write
"Напиши другу, чтобы узнать, как проходит его экзамен.
",write
"Отправь сообщение коллегам, чтобы поздравить их с окончанием проекта.
",write
"Сообщи родным, что я прилетел из командировки и уже на пути домой.
",write
"Напиши другу, чтобы попросить совета по выбору подарка для девушки.
",write
"Отправь сообщение коллегам, чтобы запросить новые данные для анализа.
",write
"Сообщи жене, что я забыл купить продукты и вернусь в ближайшее время.
",write
"Напиши другу, чтобы рассказать о своей последней поездке за границу.
",write
"Отправь сообщение коллегам, чтобы обсудить последние изменения в проекте.
",write
"Сообщи родителям, что я не смогу приехать на выходные из-за работы.
",write
"Напиши другу, чтобы спросить, где он находится и чем занимается.
",write
"Отправь сообщение коллегам, чтобы попросить о помощи в решении проблемы.
",write
"Сообщи жене, что я закончил свою работу и уже выхожу из офиса.
",write
"Напиши другу, чтобы пригласить его на концерт группы, которую он любит.
",write
"Отправь сообщение коллегам, чтобы узнать их мнение по поводу новых функций проекта.
",write
"Сообщи родным, что я заболел и не смогу приехать на день рождения брата.
",write
"Напиши другу, чтобы спросить, как он относится к идее создания новой компании.
",write
"Отправь сообщение коллегам, чтобы обсудить последние результаты исследований.#350
",write
"Написать сообщение другу
",write
"Отправить сообщение в чат
",write
"Скинуть пару слов в диалоге
",write
"Направить письмо
",write
"Выслать сообщение
",write
"Отправить заметку
",write
"Создать новое сообщение
",write
"Настроить текст для отправки
",write
"Подготовить сообщение к отправке
",write
"Сфабриковать сообщение другу
",write
"Отослать бумагу
",write
"Разослать конспект
",write
"Сформулировать записку
",write
"Вбить ответ на сообщение
",write
"Накатать реплику
",write
"Спланировать текст сообщения
",write
"Составить и отправить сообщение
",write
"Написать корректирующее сообщение
",write
"Конвертировать мысли в писание
",write
"Сформировать личное сообщение
",write
"Запечатать электронную почту
",write
"Изложить и передать свои мысли
",write
"Сообщить информацию по телефону
",write
"Отправить аудиосообщение
",write
"Пробормотать сообщение
",write
"Отправить голосовую запись
",write
"Записать и отправить голосовое сообщение
",write
"Передать информацию голосом
",write
"Сообщить с помощью голоса
",write
"Излить мысли голосом
",write
"Произнести фразу для отправки
",write
"Нажать на кнопку ""написать""
",write
"Отправить слова через чат
",write
"Набрать текст и нажать ""отправить""
",write
"Нанести запись на экран и отправить
",write
"Произнести голосом команду ""написать""
",write
"Начать записывать аудио и отправлять его
",write
"Ввести текст и отправить его
",write
"Добавить новое сообщение в диалог
",write
"Отправить ответ на предыдущее сообщение
",write
"Сформировать письмо и отправить его
",write
"Записать голосовое сообщение и передать
",write
"Оставить заметку в диалоге
",write
"Отправить короткое сообщение
",write
"Написать быстрый ответ
",write
"Изложить свои мысли на бумагу
",write
"Создать новую записку
",write
"Произнести текст в голосовом сообщении
",write
"Отправить сообщение на выбранный канал
",write
"Редактировать сообщение перед отправкой
",write
"Ввести текст сообщения и отправить его
",write
"Составить резюме и отправить его
",write
"Написать заметку на бумаге и передать ее
",write
"Записать голосовое сообщение и отправить его в чат
",write
"Отправить сообщение через социальные сети
",write
"Создать новую заметку и отправить ее
",write
"Передать информацию в устной форме
",write
"Записать голосовое сообщение и нажать ""отправить""
",write
"Произнести слова для отправки
",write
"Написать сообщение, используя свои мысли
",write
"Оставить запись на голосовой почте
",write
"Набрать текст и отправить его как сообщение
",write
"Записать голосовое сообщение и отправить его в диалоге
",write
"Добавить комментарий к сообщению и отправить его #410
",write
"Отправить сообщение другу
",write
"Создать новое сообщение
",write
"Написать письмо начальнику
",write
"Отправить электронное письмо клиенту
",write
"Сформулировать сообщение на форуме
",write
"Отправить заявление в службу поддержки
",write
"Написать отзыв о продукте
",write
"Оставить комментарий на сайте
",write
"Написать письмо другу
",write
"Отправить текстовое сообщение коллеге
",write
"Отправить сообщение боссу
",write
"Написать сообщение в групповом чате
",write
"Отправить сообщение члену семьи
",write
"Написать сообщение на форуме об образовании
",write
"Написать отзыв о ресторане
",write
"Отправить сообщение на рекламный адрес
",write
"Написать сообщение на доске объявлений
",write
"Отправить сообщение на почту
",write
"Написать письмо любимому человеку
",write
"Отправить сообщение другу по работе
",write
"Создать новое сообщение в социальной сети
",write
"Написать письмо неизвестному автору
",write
"Отправить сообщение в групповом чате о работе
",write
"Написать сообщение на тему экологии
",write
"Отправить текстовое сообщение другу на телефон
",write
"Написать сообщение в блоге
",write
"Отправить сообщение на странице компании в социальной сети
",write
"Написать письмо родственнику
",write
"Отправить сообщение на форуме о здоровье
",write
"Написать отзыв о книге
",write
"Создать новое сообщение в мессенджере
",write
"Написать сообщение на тему путешествий
",write
"Отправить сообщение на адрес поддержки банка
",write
"Написать письмо коллеге
",write
"Отправить сообщение в групповом чате с друзьями
",write
"Написать сообщение клиенту об акции
",write
"Отправить сообщение на форуме о спорте
",write
"Написать отзыв о концерте
",write
"Оставить комментарий на блоге
",write
"Написать сообщение другу на почту
",write
"Отправить сообщение на странице автора в социальной сети
",write
"Написать сообщение на тему культуры
",write
"Отправить текстовое сообщение в групповой чат
",write
"Написать письмо другу за границей
",write
"Отправить сообщение на форуме о культуре
",write
"Написать отзыв о фильме
",write
"Создать новое сообщение в чате с командой
",write
"Написать сообщение на тему музыки
",write
"Отправить сообщение на адрес поддержки интернет-магазина
",write
"Написать письмо начальнику о повышении зарплаты
",write
"Отправить сообщение в групповом чате на работе
",write
"Написать сообщение на форуме об искусстве
",write
"Отправить сообщение другу через социальную сеть
",write
"Написать сообщение на тему спорта #460
",write
"Напиши сообщение Андрею.
",write
"Отправь письмо Джону.
",write
"Напиши Сергею о нашей встрече.
",write
"Сделай запись в блокноте.
",write
"Напиши заметку о своих планах на выходные.
",write
"Отправь текстовое сообщение Марии.
",write
"Создай новый документ и напиши туда свои мысли.
",write
"Напиши электронное письмо начальнику отдела.
",write
"Напиши ближайшему другу, чтобы узнать, как дела.
",write
"Оставь заметку на холодильнике о покупке продуктов.
",write
"Найди контакт твоей старой подруги и напиши ей.
",write
"Напиши предложения для нового проекта.
",write
"Отправь запрос на информацию о поездке.
",write
"Запиши свои мысли в ежедневник.
",write
"Напиши письмо другу, который живет за границей.
",write
"Создай напоминание о важной встрече.
",write
"Отправь сообщение коллеге о задаче на этой неделе.
",write
"Напиши отзыв о последнем прочитанном книжном произведении.
",write
"Оставь сообщение на автоответчике о своем отсутствии.
",write
"Напиши письмо бабушке и вспомни старые истории.
",write
"Создай список покупок и отправь его другу для помощи.
",write
"Напиши заметку о том, что нужно сделать на следующей неделе.
",write
"Отправь письмо поставщику о закупке необходимых материалов.
",write
"Найди контакт твоего учителя и отправь ему благодарность.
",write
"Напиши заметку для себя об организации твоего времени.
",write
"Отправь напоминание другу о предстоящей встрече.
",write
"Создай список задач на сегодня и напиши его себе в дневник.
",write
"Напиши главе компании о новой идеи продукта.
",write
"Отправь письмо друзьям о планируемой поездке.
",write
"Напиши заметку о том, что нужно починить в доме.
",write
"Оставь сообщение в чате с коллегами о следующем совещании.
",write
"Напиши эссе о важности экологии для нашей планеты.
",write
"Создай список дел на эту неделю и отправь его другу.
",write
"Напиши заметку о своих целях на следующий год.
",write
"Отправь письмо в службу поддержки с просьбой решить техническую проблему.
",write
"Напиши сообщение маме, чтобы узнать, как она поживает.
",write
"Создай новый документ и напиши о своих жизненных достижениях.
",write
"Найди контакт друга из детства и напиши ему о воспоминаниях.
",write
"Напиши заметку о том, что нужно купить в подарок на День рождения друга.#500
",write
"Закрой приложение.
",close
"Закрой окно мессенджера.
",close
"Закрой чат.
",close
"Закрыть программу.
",close
"Прекратить работу приложения.
",close
"Остановить мессенджер.
",close
"Выключить чат.
",close
"Деактивировать приложение.
",close
"Свернуть окно мессенджера.
",close
"Завершить работу мессенджера.
",close
"Заканчиваем использование мессенджера.
",close
"Выйти из мессенджера.
",close
"Остановить приложение.
",close
"Закрыть диалоговое окно.
",close
"Приостановить работу мессенджера.
",close
"Закрываю чат.
",close
"Интерфейс мессенджера больше не нужен.
",close
"Закрыть окно чата.
",close
"Прекратить функционирование мессенджера.
",close
"Остановить процесс работы мессенджера.
",close
"Конец работы мессенджера.
",close
"Финализировать использование мессенджера.
",close
"Выходим из мессенджера.
",close
"Закрываем диалоговое окно.
",close
"Останавливаем работу приложения.
",close
"Закрыть всплывающее окно.
",close
"Закрываем интерфейс мессенджера.
",close
"Закрыть чат и выйти из мессенджера.
",close
"Закрыть все окна мессенджера.
",close
"Закрыть приложение и завершить работу.
",close
"Прекратить общение в мессенджере.
",close
"Закрыть приложение и удалить его из памяти.
",close
"Дать указание на закрытие мессенджера.
",close
"Окончить работу с мессенджером.
",close
"Остановить процесс работы приложения.
",close
"Закрыть чат и закончить использование мессенджера.
",close
"Завершить работу чата.
",close
"Закрыть текущую вкладку мессенджера.
",close
"Закрыть мессенджер и выйти из него.
",close
"Закрыть главное окно мессенджера.
",close
"Закрыть диалоговое окно чата.
",close
"Полностью прекратить работу мессенджера.
",close
"Закрыть интерфейс мессенджера и остановить его работу.
",close
"Убрать мессенджер со своего экрана.
",close
"Выйти из мессенджера и закрыть его окна.
",close
"Останавливаем мессенджер и закрываем его окна.
",close
"Закрыть окна мессенджера и выйти из него.
",close
"Завершить работу мессенджера и закрыть его.
",close
"Закрыть интерфейс чата и выйти из мессенджера.
",close
"Закрыть текущий чат и выйти из мессенджера.
",close
"Остановить работу мессенджера и закрыть его окна.
",close
"Выключить мессенджер и завершить работу.
",close
"Закрыть диалоговое окно мессенджера и выйти из него.
",close
